Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,7825129,-,b'Victoria',b'Australia',-37.84,145.03,10,40,10,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Clearsky GHI
2020,1,1,0,0,0
2020,1,1,0,30,0
2020,1,1,1,0,0
2020,1,1,1,30,0
2020,1,1,2,0,0
2020,1,1,2,30,0
2020,1,1,3,0,0
2020,1,1,3,30,0
2020,1,1,4,0,0
2020,1,1,4,30,0
2020,1,1,5,0,0
2020,1,1,5,30,35
2020,1,1,6,0,105
2020,1,1,6,30,193
2020,1,1,7,0,288
2020,1,1,7,30,388
2020,1,1,8,0,489
2020,1,1,8,30,586
2020,1,1,9,0,682
2020,1,1,9,30,765
2020,1,1,10,0,933
2020,1,1,10,30,998
2020,1,1,11,0,1049
2020,1,1,11,30,1085
2020,1,1,12,0,1105
2020,1,1,12,30,1109
2020,1,1,13,0,1092
2020,1,1,13,30,1061
2020,1,1,14,0,1017
2020,1,1,14,30,960
2020,1,1,15,0,888
2020,1,1,15,30,806
2020,1,1,16,0,710
2020,1,1,16,30,610
2020,1,1,17,0,504
2020,1,1,17,30,396
2020,1,1,18,0,285
2020,1,1,18,30,181
2020,1,1,19,0,88
2020,1,1,19,30,20
2020,1,1,20,0,0
2020,1,1,20,30,0
2020,1,1,21,0,0
2020,1,1,21,30,0
2020,1,1,22,0,0
2020,1,1,22,30,0
2020,1,1,23,0,0
2020,1,1,23,30,0
2020,1,2,0,0,0
2020,1,2,0,30,0
2020,1,2,1,0,0
2020,1,2,1,30,0
2020,1,2,2,0,0
2020,1,2,2,30,0
2020,1,2,3,0,0
2020,1,2,3,30,0
2020,1,2,4,0,0
2020,1,2,4,30,0
2020,1,2,5,0,0
2020,1,2,5,30,45
2020,1,2,6,0,125
2020,1,2,6,30,223
2020,1,2,7,0,329
2020,1,2,7,30,438
2020,1,2,8,0,547
2020,1,2,8,30,650
2020,1,2,9,0,749
2020,1,2,9,30,837
2020,1,2,10,0,915
2020,1,2,10,30,979
2020,1,2,11,0,1030
2020,1,2,11,30,1066
2020,1,2,12,0,1086
2020,1,2,12,30,1091
2020,1,2,13,0,1064
2020,1,2,13,30,1037
2020,1,2,14,0,994
2020,1,2,14,30,939
2020,1,2,15,0,869
2020,1,2,15,30,788
2020,1,2,16,0,696
2020,1,2,16,30,598
2020,1,2,17,0,493
2020,1,2,17,30,386
2020,1,2,18,0,279
2020,1,2,18,30,176
2020,1,2,19,0,86
2020,1,2,19,30,19
2020,1,2,20,0,0
2020,1,2,20,30,0
2020,1,2,21,0,0
2020,1,2,21,30,0
2020,1,2,22,0,0
2020,1,2,22,30,0
2020,1,2,23,0,0
2020,1,2,23,30,0
2020,1,3,0,0,0
2020,1,3,0,30,0
2020,1,3,1,0,0
2020,1,3,1,30,0
2020,1,3,2,0,0
2020,1,3,2,30,0
2020,1,3,3,0,0
2020,1,3,3,30,0
2020,1,3,4,0,0
2020,1,3,4,30,0
2020,1,3,5,0,0
2020,1,3,5,30,40
2020,1,3,6,0,115
2020,1,3,6,30,210
2020,1,3,7,0,309
2020,1,3,7,30,415
2020,1,3,8,0,522
2020,1,3,8,30,623
2020,1,3,9,0,720
2020,1,3,9,30,807
2020,1,3,10,0,893
2020,1,3,10,30,957
2020,1,3,11,0,1013
2020,1,3,11,30,1049
2020,1,3,12,0,1073
2020,1,3,12,30,1082
2020,1,3,13,0,1056
2020,1,3,13,30,1029
2020,1,3,14,0,991
2020,1,3,14,30,934
2020,1,3,15,0,866
2020,1,3,15,30,784
2020,1,3,16,0,678
2020,1,3,16,30,581
2020,1,3,17,0,475
2020,1,3,17,30,368
2020,1,3,18,0,261
2020,1,3,18,30,162
2020,1,3,19,0,73
2020,1,3,19,30,13
2020,1,3,20,0,0
2020,1,3,20,30,0
2020,1,3,21,0,0
2020,1,3,21,30,0
2020,1,3,22,0,0
2020,1,3,22,30,0
2020,1,3,23,0,0
2020,1,3,23,30,0
2020,1,4,0,0,0
2020,1,4,0,30,0
2020,1,4,1,0,0
2020,1,4,1,30,0
2020,1,4,2,0,0
2020,1,4,2,30,0
2020,1,4,3,0,0
2020,1,4,3,30,0
2020,1,4,4,0,0
2020,1,4,4,30,0
2020,1,4,5,0,0
2020,1,4,5,30,37
2020,1,4,6,0,111
2020,1,4,6,30,205
2020,1,4,7,0,303
2020,1,4,7,30,407
2020,1,4,8,0,504
2020,1,4,8,30,603
2020,1,4,9,0,693
2020,1,4,9,30,779
2020,1,4,10,0,811
2020,1,4,10,30,871
2020,1,4,11,0,910
2020,1,4,11,30,948
2020,1,4,12,0,962
2020,1,4,12,30,967
2020,1,4,13,0,990
2020,1,4,13,30,964
2020,1,4,14,0,924
